label,noise_type,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
15C_15C,B,-722.5235,-1.9647503,26.628927,11.948125,5.0313253,16.842705,2.7863946,13.471927,6.5751266,7.667956,8.298784,4.4291253,7.1879163
15C_15C,C,-730.8317,-12.693586,21.320688,5.6354885,-0.05898766,14.8851795,-0.70376253,10.419778,2.5446754,4.4231286,6.155369,2.7687423,6.2891717
15C_15C,C,-720.2683,-17.879824,14.447043,20.234987,-1.1525474,8.121475,8.402532,5.3111587,-5.0055723,12.754883,2.4963334,-3.6523762,13.942157
15C_15C,C,-721.6677,-17.938503,14.820759,17.988499,-3.738435,6.509951,7.115354,6.9941177,-2.5146244,12.448089,2.3703227,-3.3864567,12.205088
15C_15C,C,-730.6408,-10.40683,21.370703,6.6237116,-0.26740667,13.067836,-1.3655095,10.747763,2.3173113,2.9453876,4.0069447,-0.26286697,4.9139934
15C_15C,C,-727.49603,-6.835822,23.304388,7.513826,0.8484859,13.659345,-1.3268439,8.542828,1.3380517,4.0783725,5.382457,1.7638109,4.7395096
15C_15C,C,-718.2692,-13.457699,14.861573,19.996498,-3.3483212,5.389762,6.525145,4.240565,-4.173037,11.2893095,0.22626838,-4.257672,12.804583
15C_15C,C,-720.1342,-12.259131,16.600845,18.482992,-2.4028797,7.3017297,7.307922,5.77621,-2.5848136,11.934861,2.4161918,-2.5300708,11.835123
15C_15C,C,-717.786,-14.970173,14.319263,19.12374,-2.1606696,8.136378,9.4602,6.626989,-2.8700585,14.555963,3.402643,-2.3786206,14.417815
15C_15C,C,-721.7412,-19.420063,12.915203,19.850132,-1.0733231,7.751118,8.419598,6.4981904,-3.6650174,14.067524,3.1522276,-3.7135403,13.620688
15C_15C,C,-720.90576,-18.653437,12.787888,19.690367,-2.1971676,7.668936,8.877202,5.7804236,-3.996827,13.392274,2.2018785,-3.7092116,14.060234
15C_15C,C,-720.414,-18.251356,13.12069,18.45899,-4.3265123,6.112836,8.897796,7.28105,-3.250352,12.914222,1.1098304,-5.01713,12.05235
15C_15C,C,-721.2357,-19.082518,13.615131,20.035778,-2.3769038,6.7026463,8.260147,6.6216846,-2.6487002,14.28412,3.6253884,-3.859227,13.383802
15C_15C,C,-721.11304,-19.027615,12.816714,20.358534,-1.1430594,7.891449,8.247432,5.3569007,-3.9865515,12.9066925,1.3147501,-4.032212,13.551771
15C_15C,C,-720.4642,-17.71071,13.452932,19.320162,-3.772893,5.9805293,7.6476784,5.9429483,-3.0601993,13.541421,1.7941405,-4.309287,13.829253
15C_15C,C,-720.5821,-18.596317,11.997281,18.483175,-3.3688247,7.167661,9.035497,7.4223957,-2.449574,14.894726,3.5004823,-3.9923193,12.901094
15C_15C,C,-719.5505,-16.705872,13.492472,17.758345,-3.461927,6.9178076,8.697193,6.994833,-3.223501,12.718341,0.837567,-5.0538783,13.870032
15C_15C,C,-720.99384,-18.293316,13.720448,19.36451,-3.4745295,6.18259,8.392026,6.4148583,-2.8442843,14.315057,3.095415,-3.5185518,13.890742
15C_15C,C,-720.248,-18.087984,13.266416,18.338003,-4.8027287,5.119833,7.443621,6.6241164,-2.4369385,13.879805,2.457094,-2.9854727,14.860636
15C_15C,C,-721.86725,-19.917158,12.786658,18.692719,-3.8224916,6.626497,8.68474,6.471154,-3.9331877,12.535752,1.6845926,-3.9602938,14.159923
15C_15C,C,-719.64264,-18.097788,13.242367,19.463188,-3.0894578,6.4287148,8.2251,7.4585357,-2.4933062,13.852422,2.0777638,-3.6923387,13.262473
15C_15C,C,-720.6197,-18.370338,13.737962,19.764956,-3.7296624,5.6886673,8.193618,5.772301,-4.663656,13.376466,2.4328558,-4.1166954,13.6354685
15C_15C,C,-720.8101,-18.732447,13.593869,20.209597,-2.35414,6.900365,8.577704,6.6279635,-3.482801,13.984643,3.0863764,-3.0206828,15.177494
